GARDU INDUK,PEMILIK,NAMA,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,RATA-RATA,PENGGUNAAN
GI KELAPA GADING,DISJAYA,SAKURA / H,6.21,5.94,6.38999999999942,6.28999999999996,6.57000000000062,8.40999999999985,9.27999999999975,8.68000000000029,7.01000000000022,7.72999999999956,4.19999999999982,8.36999999999989,9.28000000000065,9.1899999999996,8.48999999999978,8.23000000000047,9.71000000000004,8.39999999999964,9.59000000000015,9.60000000000036,9.61999999999989,8.22999999999956,8.35000000000036,0,9.86999999999989,9.69999999999982,9.73999999999978,10.0400000000009,9.04999999999927,8.61000000000058,10.4299999999994,8.10354838709676,0
GI KELAPA GADING,DISJAYA,SAKURA / L1,10.25,10.27,10.2800000000007,10.2099999999991,14.0900000000001,17.6800000000003,8.55000000000109,13.3999999999996,11.2600000000002,11.1599999999999,11.0199999999986,63.2300000000014,13.5699999999997,13.2099999999991,13.0600000000013,13.2999999999993,13.6900000000005,13.5100000000002,13.8199999999997,13.6000000000004,13.9399999999987,13.0600000000013,13.2299999999996,0,17.6399999999994,13.9200000000001,14.3000000000011,14.2799999999988,14.2399999999998,13.8000000000011,14.5799999999999,14.2629032258065,0
GI KELAPA GADING,DISJAYA,SAKURA / L2,17.6399999999994,15.9,21.8499999999985,21.4900000000016,26.369999999999,36.2099999999991,42,19.5299999999988,21.5500000000029,25.0799999999981,18.9900000000016,26.8099999999977,41.1500000000015,37.9799999999996,28.760000000002,30.0199999999968,39.3300000000017,27.8199999999997,53.0099999999984,33.9400000000023,40.380000000001,27,30.3599999999969,0,44.5400000000009,41.5699999999997,44.7200000000012,40.119999999999,32.5699999999997,28.6000000000022,44.1800000000003,30.9506451612903,1
GI KELAPA GADING,DISJAYA,ADENIUM / H,8.09999999999945,8.24,8.39999999999964,8.43000000000029,8.63000000000011,7.5,7.92999999999938,7.95000000000073,8.11999999999989,8.40999999999985,7.92999999999938,7.86000000000058,8.32999999999993,7.9399999999996,7.82999999999993,7.93000000000029,8.3100000000004,8.22999999999956,8.27999999999975,8.21000000000004,8.32000000000062,7.50999999999931,8,0,8.46000000000004,8.16000000000076,8.39999999999964,8.23999999999978,7.80000000000018,7.88000000000011,8.42000000000007,7.86290322580643,0
GI KELAPA GADING,DISJAYA,ADENIUM / L1,14.6700000000001,14.7299999999996,14.8899999999994,15.0300000000007,15.3099999999995,13.0900000000001,14.1700000000001,14.4899999999998,14.7900000000009,14.3199999999997,13.9300000000003,4.15999999999985,14.7399999999998,14.0699999999997,14.6299999999992,14.4300000000003,15.0500000000011,15.1000000000004,14.8499999999985,14.3100000000013,14.9099999999999,13.7899999999991,14.6400000000012,0,8,14.6799999999985,15.2100000000009,14.9599999999991,14.9400000000005,14.6900000000005,15.3400000000001,13.6103225806452,0
GI KELAPA GADING,DISJAYA,ADENIUM / L2,19.6599999999999,18.3099999999995,21.2399999999998,20.8900000000012,21.0499999999993,19.130000000001,23.619999999999,15.0400000000009,19.2099999999991,20.9799999999996,20.25,10.7800000000007,10.3299999999999,19.7399999999998,18.3999999999996,18.6599999999999,21.130000000001,18.7399999999998,25.1399999999994,16.8100000000013,20.4899999999998,17.6800000000003,18.8299999999999,0,19.2799999999988,19.5699999999997,21.3299999999999,20.2100000000009,19.3600000000006,17.6499999999996,21.3899999999994,18.5451612903226,0
GI KELAPA GADING,DISJAYA,ARBEY / H,18.8199999999997,18.8100000000013,18.8899999999994,18.9899999999998,19.4400000000005,17.1499999999996,18.2199999999993,18.4099999999999,18.9600000000009,19.25,18.2899999999991,18.2300000000014,18.7299999999996,18.2700000000004,18.1000000000004,18.5199999999986,18.9099999999999,18.8700000000008,18.7700000000004,18.8899999999994,18.7700000000004,17.5900000000001,18.5699999999997,0,19.1700000000001,18.8999999999996,19.0499999999993,18.6900000000005,18.2800000000007,18.4300000000003,19.3299999999999,18.041935483871,0
GI KELAPA GADING,DISJAYA,ARBEY / L1,32.2000000000007,32.489999999998,32.6700000000019,33.0499999999993,33.8499999999985,28.9500000000007,31.4099999999999,32.4000000000015,33.1699999999983,31.3300000000017,31.3100000000013,31.3199999999997,33.1099999999969,31.510000000002,32.5400000000009,32.5299999999988,33.4700000000012,33.6599999999999,33.0599999999977,31.9000000000015,33.2000000000007,30.8099999999977,32.5500000000029,0,18.2199999999975,32.9799999999996,33.130000000001,33.1599999999999,33.2999999999993,33.0900000000001,34.0600000000013,30.9816129032258,1
GI KELAPA GADING,DISJAYA,ARBEY / L2,46.5500000000029,42.3499999999985,46.5999999999985,45.8600000000006,46.9900000000052,42.6899999999951,52.8199999999997,37.3899999999994,45.0500000000029,46.2900000000009,46.5599999999977,37.4100000000035,44.0699999999997,44.3799999999974,44.260000000002,44.1800000000003,47.6599999999962,44.0400000000009,55.9500000000044,37.5299999999988,46.760000000002,43.1299999999974,44.989999999998,0,43.4500000000044,43.989999999998,46.8099999999977,45.6699999999983,47.5600000000049,41.5799999999945,47.3600000000006,43.5461290322581,1
GI KELAPA GADING,DISJAYA,FLAMBOYAN / H,7.27999999999975,7.28999999999996,7.31999999999971,7.46000000000004,7.52000000000044,6.6899999999996,7.14000000000033,7.31999999999971,7.32000000000062,7.42999999999938,7.11999999999989,8.71000000000004,9.0600000000004,8.71000000000004,8.67000000000007,8.80000000000018,8.76999999999953,8.94000000000051,8.83999999999924,8.78000000000065,8.96000000000004,8.47999999999956,8.84000000000015,0,9.09000000000015,8.88000000000011,9.13000000000011,9.22999999999956,9.01000000000022,8.92999999999938,9.22000000000025,8.03032258064515,0
